antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"Comorbidities, Deterioration indicators (worsening symptoms), Improvement indicators (success, relief, reduced symptoms), Self-Treatment & Behavioral Interventions",Botox Treatment Experiences & Procedures,0.03903903903903904,0.9924924924924925,0.03903903903903904,1.0,1.0075642965204237,1.0,0.0002930858786714674,inf,0.007812500000000083,0.039334341906202726,1.0,0.5196671709531013
Comorbidities,"Botox Treatment Experiences & Procedures, Symptom Experience & Severity",0.09309309309309309,0.8858858858858859,0.09309309309309309,1.0,1.1288135593220339,1.0,0.010623235848461074,inf,0.12582781456953643,0.10508474576271186,1.0,0.5525423728813559
"Deterioration indicators (worsening symptoms), Improvement indicators (success, relief, reduced symptoms), Psychological Factors & Mental Health, Self-Treatment & Behavioral Interventions","Botox Treatment Experiences & Procedures, Symptom Experience & Severity",0.08258258258258258,0.8858858858858859,0.08258258258258258,1.0,1.1288135593220339,1.0,0.009423838252667086,inf,0.12438625204582658,0.09322033898305085,1.0,0.5466101694915254
"Alternative Surgical Treatments/Diagnostics, Comorbidities, Self-Treatment & Behavioral Interventions","Botox Treatment Experiences & Procedures, Symptom Experience & Severity",0.05405405405405406,0.8858858858858859,0.05405405405405406,1.0,1.1288135593220339,1.0,0.006168330492654819,inf,0.12063492063492068,0.061016949152542375,1.0,0.5305084745762711
"Alternative Surgical Treatments/Diagnostics, Deterioration indicators (worsening symptoms), Psychological Factors & Mental Health, Self-Treatment & Behavioral Interventions",Symptom Experience & Severity,0.10810810810810811,0.8933933933933934,0.10810810810810811,1.0,1.119327731092437,1.0,0.011525038552065575,inf,0.11952861952861947,0.12100840336134455,1.0,0.5605042016806723
"Comorbidities, Improvement indicators (success, relief, reduced symptoms), Self-Treatment & Behavioral Interventions",Botox Treatment Experiences & Procedures,0.042042042042042045,0.9924924924924925,0.042042042042042045,1.0,1.0075642965204237,1.0,0.00031563094626157334,inf,0.007836990595611196,0.04236006051437217,1.0,0.5211800302571861
"Alternative Surgical Treatments/Diagnostics, Comorbidities, Improvement indicators (success, relief, reduced symptoms), Psychological Factors & Mental Health, Self-Treatment & Behavioral Interventions","Deterioration indicators (worsening symptoms), Symptom Experience & Severity",0.02702702702702703,0.5435435435435435,0.02702702702702703,1.0,1.839779005524862,1.0,0.012336660985309635,inf,0.4691358024691358,0.049723756906077346,1.0,0.5248618784530387
"Botox Treatment Experiences & Procedures, Deterioration indicators (worsening symptoms), Improvement indicators (success, relief, reduced symptoms), Psychological Factors & Mental Health, Self-Treatment & Behavioral Interventions",Symptom Experience & Severity,0.08258258258258258,0.8933933933933934,0.08258258258258258,1.0,1.119327731092437,1.0,0.008803848893938981,inf,0.11620294599018001,0.09243697478991596,1.0,0.5462184873949579
"Deterioration indicators (worsening symptoms), Improvement indicators (success, relief, reduced symptoms), Psychological Factors & Mental Health, Self-Treatment & Behavioral Interventions, Symptom Experience & Severity",Botox Treatment Experiences & Procedures,0.08258258258258258,0.9924924924924925,0.08258258258258258,1.0,1.0075642965204237,1.0,0.0006199893587281041,inf,0.00818330605564657,0.0832072617246596,1.0,0.5416036308623298
"Alternative Surgical Treatments/Diagnostics, Comorbidities, Deterioration indicators (worsening symptoms), Improvement indicators (success, relief, reduced symptoms), Self-Treatment & Behavioral Interventions",Botox Treatment Experiences & Procedures,0.036036036036036036,0.9924924924924925,0.036036036036036036,1.0,1.0075642965204237,1.0,0.0002705408110813545,inf,0.007788161993769554,0.03630862329803328,1.0,0.5181543116490166
"Alternative Surgical Treatments/Diagnostics, Botox Treatment Experiences & Procedures, Comorbidities, Self-Treatment & Behavioral Interventions",Symptom Experience & Severity,0.05405405405405406,0.8933933933933934,0.05405405405405406,1.0,1.119327731092437,1.0,0.005762519276032788,inf,0.11269841269841266,0.06050420168067227,1.0,0.5302521008403361
"Comorbidities, Self-Treatment & Behavioral Interventions",Symptom Experience & Severity,0.06156156156156156,0.8933933933933934,0.06156156156156156,1.0,1.119327731092437,1.0,0.006562869175481788,inf,0.11359999999999999,0.06890756302521009,1.0,0.534453781512605
"Alternative Surgical Treatments/Diagnostics, Comorbidities, Self-Treatment & Behavioral Interventions, Symptom Experience & Severity",Botox Treatment Experiences & Procedures,0.05405405405405406,0.9924924924924925,0.05405405405405406,1.0,1.0075642965204237,1.0,0.00040581121662202485,inf,0.007936507936507886,0.054462934947049936,1.0,0.527231467473525
"Botox Treatment Experiences & Procedures, Comorbidities, Improvement indicators (success, relief, reduced symptoms)",Symptom Experience & Severity,0.057057057057057055,0.8933933933933934,0.057057057057057055,1.0,1.119327731092437,1.0,0.006082659235812388,inf,0.11305732484076432,0.06386554621848739,1.0,0.5319327731092437
"Alternative Surgical Treatments/Diagnostics, Comorbidities, Psychological Factors & Mental Health, Self-Treatment & Behavioral Interventions","Botox Treatment Experiences & Procedures, Symptom Experience & Severity",0.036036036036036036,0.8858858858858859,0.036036036036036036,1.0,1.1288135593220339,1.0,0.004112220328436542,inf,0.11838006230529587,0.04067796610169491,1.0,0.5203389830508475
