reducer,dim,k,silhouette_cos,calinski_harabasz,davies_bouldin
pca,10,25,0.20504408,437.0004306330865,1.7975759207729525
pca,10,50,0.19994183,303.2772642781946,1.8170640116230772
pca,10,75,0.19553491,239.842583539198,1.7962747152033147
pca,10,100,0.19080287,204.08081872017397,1.7624667111405898
pca,20,25,0.16784048,295.91961110529707,2.17328954273409
pca,20,50,0.15164407,191.59302486530441,2.1891439944112503
pca,20,75,0.14888997,147.06747172114072,2.1807226486455717
pca,20,100,0.14539127,122.7345551412713,2.160017361652618
pca,30,25,0.13943313,244.5449504607507,2.4948742642526276
pca,30,50,0.13107839,157.81190935314916,2.3759965824334937
pca,30,75,0.12547404,121.95969272116746,2.4044893051599265
pca,30,100,0.12121839,99.19770718125962,2.4024215415103054
pca,40,25,0.13385575,217.97414695474401,2.5305940094292763
pca,40,50,0.12492993,142.33024281877616,2.502094673495378
pca,40,75,0.12464938,109.0486272310596,2.529127623492778
pca,40,100,0.11144821,88.64303883166976,2.546951109339476
pca,50,25,0.11597661,206.11901608444907,2.6480338928709246
pca,50,50,0.11188421,130.82844696444857,2.5818862749826184
pca,50,75,0.10623562,100.36378551876655,2.6320534240207496
pca,50,100,0.099332966,81.4190783181173,2.6133434303588507
pca,75,25,0.11617489,187.96525750873747,2.646881051950927
pca,75,50,0.10691798,119.57744573153725,2.753599305690111
pca,75,75,0.09825398,89.40014128393354,2.736297293414262
pca,75,100,0.09102836,72.22930102332403,2.7693436458638523
pca,100,25,0.10631177,179.00013833386907,2.81500597358741
pca,100,50,0.10071224,113.00311718958578,2.835213583694456
pca,100,75,0.09136352,84.83717501399322,2.865802238667863
pca,100,100,0.08836006,69.37602476705958,2.8110589747142205
pca,150,25,0.10358903,175.9174253491419,2.8278777541264066
pca,150,50,0.086726986,108.40883550650715,2.9336803562322666
pca,150,75,0.09215652,82.51553220368437,2.931139588928795
pca,150,100,0.08539318,67.6210879579917,2.815705763223103
rp,10,25,0.123296835,364.2779237899518,1.927210251927902
rp,10,50,0.1010978,235.15685219728041,1.9767467478437823
rp,10,75,0.10008955,183.44086567399646,1.9393716109134087
rp,10,100,0.1025769,152.41415992352813,1.9186825616890388
rp,20,25,0.070302024,246.58392223350342,2.426033346831322
rp,20,50,0.051884826,152.9920537353787,2.4377421908928256
rp,20,75,0.069710806,117.40521050446756,2.323271110245657
rp,20,100,0.05733731,96.51978594157703,2.293736492904472
rp,30,25,0.07514736,211.09478890262366,2.5987434305467003
rp,30,50,0.04943406,131.52352196273426,2.611043161100606
rp,30,75,0.058368992,100.72127196678156,2.491421033749461
rp,30,100,0.054444753,81.75201436956948,2.5049740527836786
rp,40,25,0.069760546,198.41174897175927,2.6704399822315628
rp,40,50,0.05503256,123.75879166114032,2.6371377097566087
rp,40,75,0.061596934,94.73664256353567,2.61286001362881
rp,40,100,0.059584912,77.62633515146277,2.556045926220512
rp,50,25,0.07625835,190.35397074024027,2.674590518158959
rp,50,50,0.064295195,119.51919380157591,2.7303228486598723
rp,50,75,0.057881963,91.14331170496105,2.6707075002942937
rp,50,100,0.06840088,75.65171983269309,2.570744312141644
rp,75,25,0.07808657,185.43357155212624,2.7724080617629636
rp,75,50,0.06854942,118.1632210049904,2.6397974677539997
rp,75,75,0.06646714,88.85971774383363,2.7092216635450024
rp,75,100,0.06769609,72.92812218835144,2.637690332054598
rp,100,25,0.07996846,183.22128541767543,2.7533156386228863
rp,100,50,0.06670244,114.45823809365335,2.7739622218416615
rp,100,75,0.06526125,87.43089718456989,2.668101529848843
rp,100,100,0.06483318,72.11474122974934,2.6674940366391113
rp,150,25,0.07224476,181.4428187092626,2.793672950895433
rp,150,50,0.07376618,116.67966518158688,2.686894341500209
rp,150,75,0.06661335,88.02397754697768,2.7120335895417504
rp,150,100,0.06763256,72.30343012558077,2.6946734833806465
