component,var_ratio,cum_var
1,0.15179369,0.15179369
2,0.08566628,0.23745997
3,0.07687475,0.31433471
4,0.06518423,0.37951894
5,0.05711665,0.43663559
6,0.04898605,0.48562164
7,0.03608030,0.52170194
8,0.03092941,0.55263135
9,0.02845949,0.58109085
10,0.02709874,0.60818958
11,0.02185134,0.63004092
12,0.02058701,0.65062792
13,0.01920419,0.66983212
14,0.01639824,0.68623036
15,0.01328229,0.69951265
16,0.01220794,0.71172060
17,0.01168969,0.72341029
18,0.01111113,0.73452142
19,0.01007402,0.74459544
20,0.00963304,0.75422848
21,0.00921078,0.76343926
22,0.00877601,0.77221526
23,0.00825318,0.78046845
24,0.00805549,0.78852394
25,0.00764467,0.79616861
26,0.00709099,0.80325960
27,0.00686713,0.81012673
28,0.00661471,0.81674144
29,0.00641574,0.82315718
30,0.00623580,0.82939298
31,0.00609461,0.83548760
32,0.00585276,0.84134036
33,0.00555864,0.84689899
34,0.00532334,0.85222234
35,0.00490831,0.85713065
36,0.00469912,0.86182976
37,0.00452478,0.86635455
38,0.00439478,0.87074932
39,0.00414726,0.87489658
40,0.00408181,0.87897839
41,0.00393593,0.88291431
42,0.00370804,0.88662235
43,0.00365979,0.89028214
44,0.00360578,0.89388792
45,0.00337926,0.89726718
46,0.00333986,0.90060704
47,0.00322162,0.90382867
48,0.00312292,0.90695159
49,0.00297856,0.90993015
50,0.00293719,0.91286735
51,0.00290711,0.91577445
52,0.00272829,0.91850274
53,0.00264233,0.92114508
54,0.00257995,0.92372502
55,0.00252400,0.92624902
56,0.00242107,0.92867010
57,0.00235272,0.93102282
58,0.00227060,0.93329343
59,0.00218743,0.93548086
60,0.00211774,0.93759860
61,0.00209764,0.93969625
62,0.00198754,0.94168378
63,0.00195208,0.94363586
64,0.00190320,0.94553906
65,0.00186143,0.94740049
66,0.00184250,0.94924299
67,0.00176365,0.95100664
68,0.00166123,0.95266787
69,0.00164230,0.95431018
70,0.00159387,0.95590405
71,0.00154651,0.95745056
72,0.00151400,0.95896456
73,0.00146709,0.96043166
74,0.00141075,0.96184240
75,0.00139536,0.96323776
76,0.00134180,0.96457956
77,0.00131825,0.96589782
78,0.00130690,0.96720471
79,0.00123441,0.96843913
80,0.00120898,0.96964811
81,0.00117418,0.97082228
82,0.00113708,0.97195936
83,0.00109625,0.97305561
84,0.00106783,0.97412343
85,0.00104150,0.97516494
86,0.00097032,0.97613526
87,0.00094762,0.97708288
88,0.00093576,0.97801864
89,0.00089358,0.97891222
90,0.00085393,0.97976615
91,0.00081510,0.98058125
92,0.00079947,0.98138072
93,0.00076791,0.98214864
94,0.00075054,0.98289918
95,0.00072764,0.98362682
96,0.00070329,0.98433011
97,0.00067800,0.98500811
98,0.00066604,0.98567415
99,0.00063846,0.98631262
100,0.00062548,0.98693809
101,0.00059001,0.98752811
102,0.00056328,0.98809139
103,0.00054116,0.98863255
104,0.00053125,0.98916380
105,0.00052091,0.98968472
106,0.00050547,0.99019019
107,0.00048011,0.99067029
108,0.00047138,0.99114167
109,0.00045069,0.99159236
110,0.00043017,0.99202253
111,0.00042100,0.99244353
112,0.00040404,0.99284756
113,0.00039006,0.99323762
114,0.00036857,0.99360619
115,0.00035687,0.99396306
116,0.00033563,0.99429868
117,0.00032885,0.99462753
118,0.00030184,0.99492938
119,0.00029631,0.99522568
120,0.00028584,0.99551152
121,0.00025056,0.99576209
122,0.00024179,0.99600387
123,0.00023108,0.99623495
124,0.00021560,0.99645055
125,0.00021088,0.99666143
126,0.00020648,0.99686791
127,0.00019975,0.99706766
128,0.00017132,0.99723897
129,0.00016698,0.99740595
130,0.00015707,0.99756302
131,0.00014634,0.99770936
132,0.00013669,0.99784605
133,0.00013234,0.99797839
134,0.00012202,0.99810041
135,0.00011534,0.99821575
136,0.00010449,0.99832024
137,0.00009788,0.99841812
138,0.00009453,0.99851265
139,0.00008775,0.99860041
140,0.00008626,0.99868667
141,0.00008048,0.99876715
142,0.00007163,0.99883877
143,0.00006630,0.99890508
144,0.00006308,0.99896816
145,0.00005910,0.99902725
146,0.00005659,0.99908385
147,0.00005089,0.99913473
148,0.00004990,0.99918464
149,0.00004721,0.99923185
150,0.00004375,0.99927560
151,0.00004099,0.99931660
152,0.00004062,0.99935722
153,0.00003631,0.99939353
154,0.00003349,0.99942702
155,0.00003279,0.99945980
156,0.00002868,0.99948849
157,0.00002810,0.99951659
158,0.00002617,0.99954277
159,0.00002456,0.99956733
160,0.00002192,0.99958925
161,0.00002125,0.99961050
162,0.00001937,0.99962987
163,0.00001765,0.99964752
164,0.00001701,0.99966453
165,0.00001626,0.99968079
166,0.00001589,0.99969668
167,0.00001508,0.99971176
168,0.00001352,0.99972528
169,0.00001249,0.99973777
170,0.00001167,0.99974944
171,0.00001121,0.99976065
172,0.00001110,0.99977175
173,0.00001008,0.99978184
174,0.00000984,0.99979168
175,0.00000926,0.99980093
176,0.00000834,0.99980928
177,0.00000819,0.99981747
178,0.00000750,0.99982497
179,0.00000716,0.99983213
180,0.00000657,0.99983870
181,0.00000629,0.99984499
182,0.00000584,0.99985083
183,0.00000561,0.99985644
184,0.00000526,0.99986170
185,0.00000514,0.99986684
186,0.00000508,0.99987192
187,0.00000483,0.99987675
188,0.00000446,0.99988121
189,0.00000428,0.99988549
190,0.00000409,0.99988958
191,0.00000395,0.99989353
192,0.00000381,0.99989734
193,0.00000344,0.99990079
194,0.00000332,0.99990411
195,0.00000311,0.99990721
196,0.00000299,0.99991020
197,0.00000294,0.99991314
198,0.00000271,0.99991585
199,0.00000262,0.99991847
200,0.00000257,0.99992104
