K,inertia,silhouette,davies_bouldin,calinski_harabasz,cohesion_mean,size_imbalance
8,4586.496582,0.111250,2.429192,518.019702,0.597202,0.301911
9,4496.486816,0.110580,2.399858,480.304847,0.608082,0.348526
10,4422.355469,0.109990,2.383820,447.451900,0.617412,0.389637
11,4353.948730,0.106547,2.387605,420.294091,0.624421,0.431743
12,4287.683105,0.104697,2.406933,398.055395,0.632134,0.453250
13,4218.942871,0.104828,2.378440,380.554949,0.640364,0.473713
14,4165.593750,0.105044,2.337863,362.824034,0.646317,0.511572
15,4113.177246,0.085442,2.447538,347.707122,0.651465,0.346934
16,4056.605713,0.087178,2.369539,335.698469,0.657789,0.393007
17,4008.847656,0.088239,2.350513,323.781077,0.663057,0.407595
18,3966.732422,0.088330,2.337554,312.421995,0.667500,0.443567
19,3934.063721,0.086589,2.384278,300.793298,0.670721,0.344411
20,3892.848877,0.086297,2.324414,291.947796,0.674906,0.369806
21,3858.458252,0.084553,2.335694,282.989093,0.678343,0.332187
22,3827.101562,0.086543,2.364166,274.489923,0.682007,0.373586
23,3797.338379,0.078533,2.367655,266.591823,0.684634,0.367388
24,3766.537842,0.084569,2.344582,259.606839,0.688329,0.418443
25,3740.013184,0.081584,2.334214,252.643854,0.690640,0.388860
26,3709.858643,0.079919,2.345785,246.812556,0.692901,0.399840
27,3686.163574,0.077468,2.356877,240.588911,0.695790,0.392777
28,3664.389648,0.076470,2.347057,234.603837,0.698073,0.397270
29,3641.527344,0.079219,2.313861,229.224839,0.700715,0.468789
30,3612.601807,0.078119,2.277915,225.045112,0.703175,0.384827
31,3589.029785,0.077852,2.345453,220.514372,0.705857,0.407541
32,3567.384766,0.077651,2.328227,216.071629,0.707210,0.452570
33,3548.388184,0.080058,2.260507,211.612048,0.709244,0.468112
34,3530.434570,0.076024,2.355107,207.320767,0.710632,0.379507
35,3507.878662,0.076140,2.330544,203.846489,0.713252,0.415313
36,3488.244385,0.079138,2.350808,200.263605,0.715491,0.426850
37,3471.915771,0.075554,2.367560,196.526749,0.716864,0.412612
38,3451.986572,0.077119,2.313987,193.412096,0.718878,0.443387
39,3438.442871,0.072839,2.326019,189.781428,0.719651,0.401821
40,3422.573975,0.071620,2.330337,186.599624,0.721601,0.362417
41,3408.549072,0.073414,2.353414,183.395568,0.723035,0.458756
42,3402.673584,0.075127,2.407994,179.508585,0.723759,0.454552
43,3378.665771,0.071704,2.346984,177.668285,0.726018,0.388066
44,3369.512451,0.069648,2.440766,174.436586,0.726848,0.331085
45,3354.089844,0.069944,2.364501,171.981330,0.728138,0.389468
46,3340.546387,0.073435,2.338733,169.463542,0.729648,0.375762
47,3322.768066,0.070592,2.364117,167.476846,0.731194,0.374023
48,3313.546143,0.071544,2.406807,164.771062,0.732270,0.452706
49,3304.419434,0.071920,2.356275,162.173657,0.733218,0.448335
50,3291.416992,0.069628,2.391943,160.046907,0.734396,0.396805
51,3276.244385,0.070912,2.405290,158.213811,0.736089,0.424721
52,3266.178223,0.070306,2.363658,156.000738,0.736779,0.428356
53,3261.715088,0.070114,2.394482,153.377091,0.737192,0.427382
54,3242.883545,0.070687,2.392573,152.120401,0.738804,0.417688
55,3229.920898,0.072050,2.355317,150.413656,0.740436,0.421280
56,3224.392090,0.070733,2.379319,148.134589,0.740838,0.448776
57,3216.973389,0.068745,2.403303,146.099190,0.741429,0.351340
58,3206.094238,0.067157,2.386950,144.429039,0.742332,0.364646
59,3194.786865,0.068614,2.386804,142.857956,0.743723,0.399279
60,3181.993408,0.069185,2.399233,141.469060,0.744738,0.369421
