component,var_ratio,cum_var
1,0.19596203,0.19596203
2,0.10961583,0.30557785
3,0.09076357,0.39634142
4,0.07480869,0.47115012
5,0.05851675,0.52966686
6,0.05198859,0.58165545
7,0.03844445,0.62009990
8,0.03293306,0.65303296
9,0.02954858,0.68258154
10,0.02586962,0.70845116
11,0.02168401,0.73013517
12,0.01986574,0.75000092
13,0.01626534,0.76626626
14,0.01464174,0.78090800
15,0.01315629,0.79406429
16,0.01162309,0.80568737
17,0.01036086,0.81604823
18,0.00955425,0.82560248
19,0.00912998,0.83473247
20,0.00768331,0.84241577
21,0.00758562,0.85000139
22,0.00730670,0.85730809
23,0.00705868,0.86436676
24,0.00647715,0.87084392
25,0.00618486,0.87702877
26,0.00597312,0.88300190
27,0.00542841,0.88843031
28,0.00535022,0.89378053
29,0.00530995,0.89909048
30,0.00481464,0.90390512
31,0.00443380,0.90833892
32,0.00430367,0.91264259
33,0.00390667,0.91654925
34,0.00376798,0.92031723
35,0.00360021,0.92391744
36,0.00346376,0.92738120
37,0.00323641,0.93061761
38,0.00319411,0.93381172
39,0.00308605,0.93689777
40,0.00296692,0.93986470
41,0.00282172,0.94268642
42,0.00267436,0.94536078
43,0.00259984,0.94796062
44,0.00237264,0.95033326
45,0.00221066,0.95254392
46,0.00214514,0.95468906
47,0.00205806,0.95674711
48,0.00192820,0.95867531
49,0.00187275,0.96054806
50,0.00176764,0.96231570
51,0.00172131,0.96403701
52,0.00167608,0.96571309
53,0.00161095,0.96732404
54,0.00156212,0.96888616
55,0.00143419,0.97032035
56,0.00134646,0.97166681
57,0.00122709,0.97289390
58,0.00121630,0.97411020
59,0.00116274,0.97527295
60,0.00111956,0.97639251
