K,silhouette,davies_bouldin,calinski_harabasz,cohesion_mean,size_imbalance
3,0.273878,1.097540,3961.402393,1.553332,0.571713
4,0.262922,1.097996,3874.149132,1.630785,0.666746
5,0.268176,1.189611,3839.499079,1.736489,0.573781
6,0.271786,1.163679,4098.994434,1.850183,0.456375
7,0.291494,1.175894,4194.724003,1.965077,0.342781
8,0.299456,1.151674,4174.090426,2.007222,0.317206
9,0.304932,1.121878,4063.674818,2.037871,0.447720
10,0.307897,1.097873,4022.739737,2.073398,0.395208
11,0.305172,1.074558,3993.966025,2.098731,0.398866
12,0.298481,1.072861,3940.817094,2.122476,0.435101
13,0.293881,1.104853,3931.975818,2.134702,0.356558
14,0.284935,1.154652,3968.049898,2.142704,0.237696
15,0.288628,1.115262,3949.722667,2.152593,0.281476
16,0.290466,1.090836,3949.822301,2.159844,0.310066
17,0.291361,1.077440,3894.032121,2.161663,0.325208
18,0.288430,1.093229,3824.409235,2.167255,0.339229
19,0.280522,1.111591,3761.282878,2.170105,0.331136
20,0.282433,1.091468,3694.786963,2.177113,0.387143
21,0.272051,1.096621,3632.043432,2.179752,0.380858
22,0.275698,1.067758,3580.916589,2.182831,0.439030
23,0.270603,1.064079,3531.816009,2.185968,0.447216
24,0.268308,1.079853,3491.677161,2.187409,0.447600
25,0.267144,1.079939,3455.893714,2.193568,0.457809
26,0.265156,1.139007,3425.492454,2.198112,0.395335
27,0.261080,1.161211,3397.850219,2.199349,0.363309
28,0.256786,1.179962,3372.445163,2.202721,0.371815
29,0.259260,1.153029,3352.037430,2.205807,0.393617
30,0.259091,1.170843,3332.544602,2.208284,0.365497
