K,inertia,silhouette,davies_bouldin,calinski_harabasz,cohesion_mean,size_imbalance
3,6420.384766,0.185182,1.738493,2075.208660,0.573827,0.124844
4,5825.043457,0.189027,1.730576,1857.963594,0.628266,0.284770
5,5398.687012,0.189483,1.762933,1696.477887,0.664522,0.347079
6,5039.796387,0.196836,1.662675,1592.972792,0.693217,0.418421
7,4765.958496,0.195060,1.595369,1497.246350,0.714105,0.438014
8,4556.537598,0.164648,1.668843,1406.404152,0.728779,0.288258
9,4386.732910,0.160762,1.687225,1325.414872,0.741006,0.322120
10,4231.923340,0.151061,1.694967,1260.853778,0.751347,0.287886
11,4092.737305,0.150862,1.712466,1206.483816,0.761173,0.324427
12,3977.984375,0.149578,1.661427,1153.959445,0.768907,0.352460
13,3880.052490,0.148210,1.678818,1104.939487,0.775398,0.287629
14,3792.997070,0.146563,1.668750,1060.497506,0.781289,0.303659
15,3715.906250,0.145892,1.706797,1019.556559,0.786399,0.345187
16,3640.552979,0.147338,1.666589,984.662336,0.791255,0.366525
17,3571.948242,0.139064,1.702579,952.480838,0.795671,0.318224
18,3500.134766,0.145919,1.655460,926.541608,0.800399,0.379651
19,3438.158691,0.139882,1.686187,900.536904,0.803962,0.325659
20,3376.117676,0.144818,1.608893,878.169409,0.808114,0.382483
21,3328.142822,0.145771,1.635021,853.236035,0.811183,0.422726
22,3262.692627,0.146944,1.603780,838.156063,0.815285,0.402964
23,3221.595459,0.143424,1.650224,815.836521,0.817978,0.401035
24,3171.584961,0.143338,1.621368,799.282903,0.821139,0.380055
25,3132.618408,0.138267,1.658104,780.485115,0.823488,0.352719
26,3087.900146,0.144292,1.607590,765.692234,0.826259,0.397588
27,3049.636963,0.138787,1.642102,750.113195,0.828698,0.382855
28,3019.121338,0.138989,1.635261,733.210786,0.830593,0.388769
29,2975.183838,0.139712,1.613827,722.539289,0.833294,0.374714
30,2940.321045,0.139189,1.621132,709.812277,0.835474,0.392808
