K,inertia,silhouette,davies_bouldin,calinski_harabasz,cohesion_mean,size_imbalance
8,2557.423584,0.107645,2.414703,291.213788,0.598227,0.200264
9,2503.934570,0.104601,2.366015,270.933123,0.609814,0.246490
10,2452.752441,0.103916,2.324396,255.119013,0.620438,0.302731
11,2406.474854,0.105092,2.294026,241.696884,0.629600,0.355527
12,2361.781738,0.106114,2.343638,230.742410,0.639291,0.368647
13,2317.733887,0.107072,2.281504,221.845056,0.647774,0.387588
14,2285.939453,0.108585,2.266272,211.875500,0.654265,0.421479
15,2254.556396,0.109242,2.200143,203.424527,0.660638,0.465319
16,2223.107178,0.110320,2.228950,196.288367,0.666172,0.470276
17,2195.552979,0.109594,2.194540,189.432578,0.671072,0.496782
18,2176.953857,0.094653,2.276805,181.785297,0.674660,0.341086
19,2151.745117,0.093950,2.277354,176.266161,0.679167,0.362741
20,2128.233887,0.093069,2.252218,171.124394,0.683780,0.364330
21,2103.382080,0.092996,2.256672,166.817461,0.688146,0.382429
22,2088.164307,0.085299,2.300730,161.383294,0.690609,0.378564
23,2065.351562,0.091615,2.272175,157.723153,0.695373,0.395730
24,2046.612671,0.091127,2.274743,153.804529,0.698574,0.424494
25,2029.020020,0.088919,2.287480,150.084532,0.701571,0.356710
26,2014.857544,0.088280,2.282153,146.184000,0.704244,0.445702
27,2001.953369,0.088653,2.266277,142.425165,0.706508,0.433710
28,1988.469971,0.087529,2.292592,139.051278,0.709023,0.413347
29,1969.148315,0.087294,2.250978,136.769706,0.711997,0.331071
30,1958.328857,0.089110,2.257735,133.512354,0.714166,0.373067
31,1947.478516,0.090183,2.300026,130.491636,0.715928,0.343340
32,1933.059448,0.086639,2.302601,128.154886,0.718446,0.342600
33,1922.400635,0.089526,2.264361,125.500089,0.720483,0.405106
34,1908.427734,0.087780,2.261628,123.444446,0.722752,0.386396
35,1898.080811,0.084492,2.293824,121.077602,0.724600,0.348897
36,1887.647949,0.086150,2.305167,118.869693,0.726457,0.374013
37,1877.680908,0.087848,2.270719,116.741210,0.728045,0.410398
38,1869.527832,0.086423,2.289244,114.523592,0.729887,0.382535
39,1854.592285,0.087414,2.290147,113.225930,0.731986,0.409594
40,1842.567749,0.087675,2.224064,111.682862,0.734261,0.391734
41,1835.970459,0.087457,2.226353,109.613211,0.735080,0.392648
42,1828.074219,0.082467,2.312130,107.795063,0.736386,0.361988
43,1817.221191,0.087180,2.230117,106.397691,0.738209,0.388945
44,1810.852173,0.088298,2.214804,104.588879,0.739381,0.453728
45,1801.366089,0.086512,2.289575,103.201492,0.740999,0.402119
46,1791.170410,0.088839,2.243678,101.961278,0.742911,0.415006
47,1781.623047,0.087138,2.220874,100.718333,0.744326,0.394017
48,1779.591064,0.088311,2.256665,98.759982,0.744947,0.402560
49,1771.895508,0.085567,2.242879,97.458468,0.746032,0.374010
50,1756.845459,0.083052,2.235205,96.959352,0.748405,0.328841
51,1754.777466,0.086918,2.251215,95.202073,0.749291,0.468816
52,1748.424316,0.081898,2.278880,93.934542,0.749722,0.324925
53,1739.658936,0.086301,2.234173,92.954615,0.751871,0.353487
54,1732.141113,0.084944,2.237160,91.899309,0.752542,0.387485
55,1725.773315,0.086687,2.265505,90.779306,0.753928,0.383790
56,1717.512573,0.089010,2.203376,89.882608,0.755257,0.482755
57,1710.878662,0.083532,2.253386,88.872787,0.756179,0.407371
58,1708.624268,0.082136,2.263682,87.498830,0.756672,0.378769
59,1702.375610,0.083499,2.249705,86.535572,0.757713,0.359803
60,1697.625610,0.083697,2.246904,85.473786,0.758691,0.416186
