component,var_ratio,cum_var
1,0.14886101,0.14886101
2,0.08663595,0.23549696
3,0.07791370,0.31341066
4,0.06582409,0.37923475
5,0.05293859,0.43217334
6,0.05021799,0.48239134
7,0.03693219,0.51932353
8,0.03264290,0.55196643
9,0.02872642,0.58069285
10,0.02691601,0.60760886
11,0.02144065,0.62904951
12,0.02037584,0.64942535
13,0.01925948,0.66868483
14,0.01590420,0.68458904
15,0.01345332,0.69804236
16,0.01243088,0.71047324
17,0.01147189,0.72194513
18,0.01128896,0.73323409
19,0.01030723,0.74354132
20,0.00999890,0.75354022
21,0.00949338,0.76303361
22,0.00913384,0.77216745
23,0.00825802,0.78042547
24,0.00807584,0.78850131
25,0.00771312,0.79621444
26,0.00752906,0.80374349
27,0.00713469,0.81087818
28,0.00684625,0.81772443
29,0.00624588,0.82397031
30,0.00600175,0.82997206
31,0.00576233,0.83573439
32,0.00573660,0.84147099
33,0.00560067,0.84707167
34,0.00539479,0.85246645
35,0.00506957,0.85753602
36,0.00500580,0.86254182
37,0.00459199,0.86713382
38,0.00427080,0.87140462
39,0.00415461,0.87555923
40,0.00411008,0.87966931
41,0.00394846,0.88361777
42,0.00377504,0.88739281
43,0.00368813,0.89108094
44,0.00353296,0.89461389
45,0.00344816,0.89806205
46,0.00328206,0.90134411
47,0.00323301,0.90457712
48,0.00306761,0.90764473
49,0.00294117,0.91058590
50,0.00289046,0.91347636
51,0.00277495,0.91625131
52,0.00259657,0.91884787
53,0.00256123,0.92140911
54,0.00248770,0.92389680
55,0.00237891,0.92627571
56,0.00233566,0.92861137
57,0.00231955,0.93093092
58,0.00218712,0.93311804
59,0.00210253,0.93522057
60,0.00207062,0.93729118
