dim,T@15,C@15,Q_NX@15,Jacc@15,T@30,C@30,Q_NX@30,Jacc@30,T@50,C@50,Q_NX@50,Jacc@50,LCMC_AUC@Kmax,LCMC_k_at_max,Spearman_rho,Pearson_r,Stress1_norm
2,0.9185265453712324,0.943864298074284,0.2134368357822752,0.1320318099091184,0.9139128160437253,0.9313912005166769,0.2559652527492838,0.15999106222249182,0.9089728375007396,0.9204236169314183,0.2844080953701137,0.17899441969449237,0.2241495258117377,50,0.5050073191982072,0.511150692583106,0.3919147148750209
3,0.9537198724272739,0.9598482305409768,0.2858515848812494,0.18109266760655238,0.9479919421777436,0.9496889265218302,0.3204093891507255,0.20457917482391727,0.9415394295982151,0.941185433233485,0.343842528416967,0.2210791000624171,0.2901684101868616,50,0.5557416467612918,0.5664003887820982,0.3393041376518938
4,0.9642011004961575,0.9658479225493788,0.3085019868773681,0.19710795276502183,0.9573683592988317,0.9566969506005185,0.33862397190647814,0.21779910629598181,0.950228617554851,0.9489684593934432,0.35869420571111726,0.232094805332622,0.311134153729833,50,0.5446022814214548,0.5441340838798779,0.33937338753045293
5,0.9686614218136675,0.9668882635757295,0.3188984382219758,0.20450661117293129,0.9610173655488173,0.9579059256006728,0.34642824138249706,0.22324587354599615,0.9538954433954088,0.9502156898463816,0.3652259495425561,0.23670492096004087,0.3203566279248547,50,0.5461688339529902,0.548713453073093,0.3339186202210543
6,0.9688203601800199,0.9672592170045495,0.32042325108585157,0.2056271968790435,0.9611337483076731,0.958265725500218,0.34706589039829955,0.2236311087125206,0.9537637591866996,0.950594472830811,0.36560299417798725,0.2370810292631465,0.3207407993296624,50,0.5506664198632373,0.5542719977401844,0.331376581025641
7,0.9685407555735832,0.9668462671748592,0.3198964975510581,0.2051547410846976,0.9609031324518457,0.9579270386966275,0.3475972645781351,0.22426613842487464,0.9534654983454518,0.9502291197186702,0.3652564457998337,0.23683406083044112,0.3205855686932029,50,0.5477728532755479,0.5501055224893078,0.3337802534518188
10,0.9688092940210832,0.9670872436770896,0.3204509749561039,0.205911937231871,0.9612209407852461,0.9581771001295811,0.3472738194251918,0.22386783786102094,0.9536137325997858,0.9505366754452126,0.3658691433324092,0.23723082558707428,0.32118965848642483,50,0.551649030930798,0.5550907426683616,0.3314958553416264
15,0.9687722350470664,0.9672912524487459,0.3207466962387949,0.20595975553127693,0.9610288203138369,0.958425596531334,0.3468903058867018,0.22364302947177656,0.9533967966647623,0.9508070357073624,0.36472414749098975,0.23627729132794084,0.3207928598379066,50,0.551296674597087,0.5540506767002853,0.33159674744252515
20,0.9685547093947114,0.9668163611726972,0.32175399685796136,0.2067581457301401,0.9611313330803629,0.9578407396017745,0.3477636077996488,0.22433199328256845,0.9536858247600901,0.9501081126079645,0.36624896035486554,0.23738774788001213,0.32149081269167235,50,0.5467439445219751,0.5496919896538642,0.3346654658960491
25,0.9689265174276068,0.967078943094048,0.32150448202569076,0.206654373492763,0.9611372657604169,0.9581862737391561,0.34826263746419,0.22467217393122405,0.9537433095069612,0.9505163306256683,0.36614083726088165,0.2374814903513568,0.32179279187935916,50,0.5502204551671211,0.5534030771776496,0.33189950470466967
30,0.968769504169382,0.9669954013690449,0.3212919323537566,0.20638317349788665,0.9609897628589051,0.9580358386601601,0.346520654283338,0.2233569900777018,0.953737221790127,0.9503561807579252,0.36571111727197114,0.23712211829260071,0.32099845085458134,50,0.5503601421027196,0.5547857868512174,0.331348050858141
40,0.9687345977695399,0.9669953255470292,0.3206542833379539,0.20595110841264566,0.9610055059898959,0.9580641362032989,0.3478467794104057,0.22430535335877191,0.9538173046856059,0.950353492453241,0.36617133351815917,0.23742973921086674,0.321647835425023,50,0.5467861420687881,0.5503587873359096,0.33358936258341454
50,0.968431939414971,0.9672661810639245,0.3209777284908974,0.20635312798839034,0.9610394397080013,0.9583756173759639,0.3470936142685519,0.22381074401124146,0.9535669622345427,0.9507535232199987,0.36589409481563634,0.2373815484639293,0.32145208507618395,50,0.547433243047342,0.5506727832085476,0.3325078608562824
60,0.9687537280496389,0.9671694527337827,0.3206912484982904,0.20556470134896343,0.9610157837586335,0.9582271353630872,0.34714906200905643,0.2236909075073943,0.9536624533646423,0.9505600627638751,0.3660438037149987,0.23742053581004902,0.3212004146763248,50,0.5497569190751467,0.5536318635298233,0.3314982407084527
70,0.9687521473533792,0.967008582833708,0.3211625542925793,0.20624641509379243,0.9611192672570328,0.9580370317708489,0.348452083910914,0.22490200023659598,0.9540325465459353,0.9503700626941625,0.36649847518713613,0.2377264934415515,0.3222177646490612,50,0.5487569572829467,0.5517125438093654,0.3330070045067299
80,0.9686237883914978,0.9671620067548163,0.32082986784955186,0.2059484043311434,0.961049315261142,0.9582660084692037,0.34702430459292116,0.22368118425596625,0.9536412195636732,0.9505972380329711,0.3650596063210424,0.23650328486704086,0.32073606831197027,50,0.5495669790342538,0.5533350002651937,0.3317646107847177
90,0.9687952810844851,0.9669951160726468,0.3197948433601331,0.20493649184756768,0.9612119972894021,0.9580233886693688,0.3474124387764532,0.22400525390859174,0.9535214758241229,0.9502943167386444,0.3655170501802052,0.23699127039845397,0.32073544966251816,50,0.5487244870402518,0.5531633289830865,0.3319174735854799
100,0.9685997245399021,0.9672195183962908,0.3201460123833287,0.2054815197224532,0.9611126700188372,0.9582912255823146,0.3464190000924129,0.22321300552261955,0.9536184190737276,0.9506203492197887,0.3652037704463544,0.23661767367170336,0.3210113233060889,50,0.5498453689980551,0.5538883165381802,0.3314079109459284
