term_a,term_b,count,npmi
benjamin lerner md,medicine michael lerner,12,1.0
benjamin lerner md,mhs assistant professor,12,1.0
genetic analysis,medicine digestive disease,12,1.0
genetic analysis,predispose,12,1.0
genetic analysis,recently identify disorder,12,1.0
medicine digestive disease,predispose,12,1.0
medicine digestive disease,recently identify disorder,12,1.0
medicine michael lerner,mhs assistant professor,12,1.0
predispose,recently identify disorder,12,1.0
study investigate,surgery otolaryngology yale,12,1.0
1st 88 unit,3rd 125 unit,20,1.0
conta,conta noburp rcpd,11,1.0
conta,qualquer conte,11,1.0
conta,tiktok noburp rcpd,11,1.0
conta noburp rcpd,qualquer conte,11,1.0
conta noburp rcpd,tiktok noburp rcpd,11,1.0
qualquer conte,tiktok noburp rcpd,11,1.0
1st 88 unit,2nd 100 unit,20,0.9944853598925975
2nd 100 unit,3rd 125 unit,20,0.9944853598925975
benjamin lerner md,md assistant professor,12,0.9914467968431983
md assistant professor,medicine michael lerner,12,0.9914467968431983
md assistant professor,mhs assistant professor,12,0.9914467968431983
danlo,ehler,25,0.9910761996605169
alar,conta,11,0.9907877926460605
alar,conta noburp rcpd,11,0.9907877926460605
alar,qualquer conte,11,0.9907877926460605
alar,tiktok noburp rcpd,11,0.9907877926460605
caber,conta,11,0.9907877926460605
caber,conta noburp rcpd,11,0.9907877926460605
caber,qualquer conte,11,0.9907877926460605
caber,tiktok noburp rcpd,11,0.9907877926460605
conta,friar,11,0.9907877926460605
conta noburp rcpd,friar,11,0.9907877926460605
friar,qualquer conte,11,0.9907877926460605
friar,tiktok noburp rcpd,11,0.9907877926460605
genetic analysis,heredity,12,0.983527767617517
heredity,medicine digestive disease,12,0.983527767617517
heredity,predispose,12,0.983527767617517
heredity,recently identify disorder,12,0.983527767617517
non specialized doctor,professional statistical,40,0.9828602153505706
1st 88 unit,4th 125 unit,17,0.9819621978944004
3rd 125 unit,4th 125 unit,17,0.9819621978944004
alar,caber,11,0.9815755852921209
alar,friar,11,0.9815755852921209
caber,friar,11,0.9815755852921209
2nd 100 unit,4th 125 unit,17,0.9765470297739385
conta,obrigada,11,0.9744673058838673
conta noburp rcpd,obrigada,11,0.9744673058838673
obrigada,qualquer conte,11,0.9744673058838673
obrigada,tiktok noburp rcpd,11,0.9744673058838673
fait l injection,une seule dose,24,0.9695368144655837
conta,pra,11,0.9671627824977216
conta noburp rcpd,pra,11,0.9671627824977216
pra,qualquer conte,11,0.9671627824977216
pra,tiktok noburp rcpd,11,0.9671627824977216
alar,obrigada,11,0.9652550985299279
caber,obrigada,11,0.9652550985299279
friar,obrigada,11,0.9652550985299279
4th 125 unit,concentrate dose success,12,0.9627806454386719
alar,pra,11,0.9579505751437821
caber,pra,11,0.9579505751437821
friar,pra,11,0.9579505751437821
professional statistical,visit the doctor,36,0.9575666024476835
consult a doctor,professional statistical,40,0.9565659398194788
consult a doctor,non specialized doctor,42,0.9511003873882699
belch gurgle noise,bloating and excessive,12,0.9508952972165433
non specialized doctor,visit the doctor,37,0.9471044423567097
1st 88 unit,concentrate dose,20,0.9468765701328117
3rd 125 unit,concentrate dose,20,0.9468765701328117
1st 88 unit,concentrate dose success,12,0.9454141986851474
3rd 125 unit,concentrate dose success,12,0.9454141986851474
obrigada,pra,11,0.9416300883815889
2nd 100 unit,concentrate dose,20,0.9413619300254089
2nd 100 unit,concentrate dose success,12,0.9402005796269705
noburp doctor,professional statistical,36,0.9381537238602224
cpd yale university,neck and chest,12,0.9304795179194797
4th 125 unit,concentrate dose,17,0.9297969979423268
consult a doctor,visit the doctor,38,0.9273026848711002
exercise also,shaker exercise could,11,0.9244488359369781
botox avez,le botox,16,0.9235825233936641
noburp doctor,non specialized doctor,36,0.92123257644745
noburp doctor,visit the doctor,36,0.92123257644745
combien would unit,une seule dose,29,0.9183610555142936
combien would unit,fait l injection,24,0.8975057148791262
consult a doctor,noburp doctor,36,0.8952737139836521
concentrate dose,concentrate dose success,12,0.895190553805853
develop be cpd,genetic analysis,12,0.8919023560961756
develop be cpd,medicine digestive disease,12,0.8919023560961756
develop be cpd,predispose,12,0.8919023560961756
develop be cpd,recently identify disorder,12,0.8919023560961756
ifr,individual funding request,12,0.8856147783121181
develop be cpd,heredity,12,0.8754301237136929
professional statistical,visit a doctor,30,0.8707430471609215
doncaster,salford,17,0.8633417438230497
botox avez,combien would unit,16,0.8618864975243169
non specialized doctor,visit a doctor,30,0.8541873484438228
shaker exercise could,start the shaker,11,0.8510628515400436
gin,tonic,16,0.8353342375606019
consult a doctor,visit a doctor,30,0.8287891236363939
visit a doctor,visit the doctor,26,0.8232805318037373
combien would unit,le botox,19,0.8199497802801508
abdomino phrenic dyssynergia,pelvic floor dysfunction,28,0.8196046265973415
internet posting,post of doctor,13,0.8176042911259064
exercise also,start the shaker,11,0.8108849207364625
noburp doctor,visit a doctor,26,0.8046035143253825
berlin,charit,25,0.7969749862976314
dr michael lerner,greenwich,10,0.7954404019343391
internet posting,read doctor bastian,18,0.7944808302251785
benjamin lerner md,yale,12,0.7858854620972571
medicine michael lerner,yale,12,0.7858854620972571
mhs assistant professor,yale,12,0.7858854620972571
md assistant professor,yale,12,0.7773322589404553
cpd yale university,retrograde cricopharyngeus dysfunction,12,0.7766877020906191
reflex,trigger my gag,83,0.7726386448313819
cpd untreated,develop a hiatal,10,0.7599178329279358
candidate for botox,internet posting,23,0.7544481300437139
larynx,lower,106,0.7510448521215694
antegrade,retrograde,13,0.749057512943238
issue like hiatal,untreated be cpd,10,0.7466802404206743
melbourne,paul,28,0.7325528697461661
berlin,charite,12,0.7325071085871766
drink a fizzy,drink too fast,10,0.7261153141645086
michigan,st clair shore,10,0.722936537355927
candidate for botox,read doctor bastian,17,0.7225510289928967
hmo,ppo,13,0.7118906547231627
100u,50u,34,0.7088384470625174
neck and chest,retrograde cricopharyngeus dysfunction,12,0.7071672200100991
know specialist,map,81,0.6960035432331
retrograde,throat work,13,0.6914941791077719
dysfunction,retrograde only cricopharyngeus,18,0.6906971910335259
acid reduce med,stomach gas,11,0.687298955536174
disease,genetic analysis,12,0.6858328641722966
disease,medicine digestive disease,12,0.6858328641722966
disease,predispose,12,0.6858328641722966
disease,recently identify disorder,12,0.6858328641722966
beverage,drink a carbonated,25,0.6820919356485695
cranberry,vodka,12,0.6769181654279905
disease,heredity,12,0.6693606317898139
develop a hiatal,hernia,27,0.6667911360485806
gin,vodka,15,0.6529588273449277
dysautonomia,pot,10,0.6524682093224068
melbourne,sydney,21,0.6459805568116102
ohip,ontario,11,0.6433114050054646
amitryptyline,antidepressant,11,0.6431909914630446
list of doctor,visit a doctor,23,0.6422116093644583
reflex,trigger the gag,20,0.6393877917229015
kefir,probiotics,11,0.6381099632069247
appeal,deny,38,0.6380246439404591
h2 blocker,ppis,23,0.6365561936777412
kaiser,san leandro,10,0.6364086776648072
massage,shaker exercise cricoid,11,0.635532043952336
mixer,spirit,10,0.6355307355899654
hernia,issue like hiatal,15,0.6354207797800902
fruit juice,vodka,11,0.6272968679178693
